title,create_time,link,content,source,funding_round
深圳扶持七大新兴产业，单笔最高3000万元,2018-11-17 09:31:31,,日前，《深圳市战略性新兴产业发展专项资金扶持政策》正式实施，将设立市战略性新兴产业发展专项资金，支持新一代信息技术、高端装备制造、绿色低碳、生物医药、数字经济、新材料、海洋经济等七大战略性新兴产业发展。扶持政策将拓展对创新企业的金融支持手段，如加强与股权投资机构合作，对企业实施的产业化项目，予以最高3000万元股权资金支持；引导银行为中小企业提供产业化信用贷款支持，贷款金额最高不超过1500万元等。（上证报）,上证报,未透露
上海将建立规模为100亿元的上市公司纾困基金,2018-11-04 10:47:58,https://mp.weixin.qq.com/s/Bo5fcRUiOOQsZu_5mmgFag,上海市政府新闻办微信平台“上海发布”宣布，上海发布《关于全面提升民营经济活力 大力促进民营经济健康发展的若干意见》，要加大流动性风险专项防范力度，建立规模为100亿元的上市公司纾困基金，以市场化、法治化方式，对符合经济结构优化升级方向、有前景的民营企业进行投入。,36Kr,未透露
天津市四个产业发展三年行动计划发布，总投资近3000亿元,2018-11-04 09:49:17,https://www.yicai.com/brief/100052175.html,天津市组织制定了新一代人工智能、生物医药、新能源、新材料四个产业发展三年行动计划。根据行动计划，这四个产业将实施重点项目246项，总投资规模近3000亿元，预计到2020年产业规模可达到4500亿元。（第一财经）,第一财经,未透露
中国首座跨越地震活动断层桥梁主桥合龙,2018-11-04 09:23:50,http://www.gov.cn/xinwen/2018-11/03/content_5337266.htm#1,中国首座跨越地震活动断层的跨海桥梁——海南铺前大桥主桥3日顺利合龙，标志着大桥主体工程基本贯通。铺前大桥于2015年正式开工，全长5.597公里，总投资约30.1亿元，是海南省投资规模最大、桥塔最高、跨度最长的独塔双索面钢箱梁斜拉桥。（新华社）,新华社,未透露
国家版权局：对20家大型视频网站开展版权重点监管,2018-10-21 17:01:07,,10月19日至21日，第七届中国国际版权博览会在苏州举行。国家版权局版权管理司司长于慈珂在介绍中国版权保护工作时介绍，国家版权局直接对20家大型视频网站、20家大型音乐网站、8家网盘、10家大型文学网站开展了版权重点监管。（新京报）,新京报,未透露
海通宏观姜超：个税专项抵扣减税规模约千亿元,2018-10-21 15:48:11,,海通宏观分析师姜超等人21日发表研报指出，专项附加扣除每月能够带来的可供抵扣金额共计约1400元。按照纳税人6400万、平均税率10%来估算，年税收减免额约在千亿规模，占17年全国城镇居民可支配收入的0.35%，释放出的消费能力占城镇居民消费支出的0.2-0.4个百分点。此外，姜超认为若要实现长期可持续发展，亟需加大企业部门减税力度，下调增值税率是最为行之有效的方式。（姜超宏观债券研究）,姜超宏观债券研究,未透露
山东将打造全省性企业综合融资服务平台,2018-10-21 11:28:34,,山东省政府近日印发《山东省现代金融产业发展规划（2018-2022年）》，提出将调整优化信贷市场，增强山东省企业融资服务网络系统服务功能，将其逐步打造成全省性企业综合融资服务平台。为更好推动企业融资，山东省还提出，将通过签订战略合作协议等方式，引导金融机构持续加大对山东省重点产业、重点项目、重点领域的支持力度，争取规划期内15家金融机构与省政府签署战略合作协议，协议总金额超过4万亿元。（新华社）,新华社,未透露
多地出台政策促新能源汽车发展，公共机构带头推广,2018-10-21 09:01:50,,公安部交通管理局近日发布数据显示，截至2018年9月底，全国新能源汽车保有量达221万辆。今年以来，地方层面密集出台相关措施，促进新能源汽车产业发展，公共机构带头推广、差异化交通管理成为特点。今年以来，包括山东、江苏、江西、安徽、云南、天津等地都密集出台相关文件，设定了本地区的新能源汽车推广目标。除了在数量上设定增长目标，不少地方都明确提出，公共机构要带头推广新能源汽车。（中国新闻网）,中国新闻网,未透露
个税法实施条例拟增加反避税条款,2018-10-21 08:59:26,,《中华人民共和国个人所得税法实施条例（修订草案征求意见稿）》20日公布。新个人所得税法增加了反避税条款，借鉴企业所得税法的成熟经验，实施条例细化了反避税的有关规定，明确了有关概念和判定标准。明确了关联方、关联关系、独立交易原则、受控外国企业、实际税负明显偏低、合理商业目的等概念的含义和标准；明确了纳税调整利息的计算方法；明确纳税调整具体方法由国务院财政、税务主管部门规定。（经济日报）,经济日报,未透露
美国新法案将允许政府机构击落私人无人机,2018-10-06 09:31:56,http://tech.qq.com/a/20181006/003147.htm,美国参议院通过了联邦航空管理局（FAA）重新授权法案中的一个条款。该条款允许政府机构从空中击落它们认为可能会构成威胁的私人无人机。根据该法案的H条款“预防突然出现的威胁”，肩负有“安全职责或保护人身、厂房或资产职责的人员”可以扰乱、破坏、拦截、干预、没收和控制无人机。而且，在必要的时候，他们还可以“摧毁无人机”。（腾讯科技）,腾讯科技,未透露
